CustomerID,TotalRevenue,AvgRevenuePerTransaction,TotalTransactions,TotalQuantity,TotalOrders,UniqueProducts,FirstPurchase,LastPurchase,Country,Recency,Frequency,Monetary,AOV,CustomerLifetime,Cluster,Segment
C10073,2645.6,2645.6,1,4,1,1,2025-01-03 21:24:00,2025-01-03 21:24:00,Netherlands,328,1,2645.6,2645.6,0,3,At-Risk Big Spenders
C10074,4900.28,1225.07,4,10,3,4,2025-04-23 20:24:00,2025-11-25 14:56:00,United Kingdom,3,3,4900.28,1633.4266666666665,215,0,Recent Moderate Buyers
C10075,7622.620000000001,2540.8733333333334,3,13,1,3,2025-01-13 14:24:00,2025-01-13 14:24:00,India,319,1,7622.620000000001,7622.620000000001,0,3,At-Risk Big Spenders
C10076,9834.92,3278.306666666667,3,12,1,3,2025-08-08 13:31:00,2025-08-08 13:31:00,United Kingdom,112,1,9834.92,9834.92,0,0,Recent Moderate Buyers
C10077,17236.48,3447.296,5,11,3,5,2025-01-12 08:38:00,2025-10-07 12:19:00,Spain,52,3,17236.48,5745.493333333333,268,1,Champions (High-Value Loyal)
C10080,13395.279999999999,1913.6114285714284,7,18,3,7,2025-06-13 19:56:00,2025-10-16 09:03:00,United Kingdom,43,3,13395.279999999999,4465.093333333333,124,1,Champions (High-Value Loyal)
C10081,11131.09,2782.7725,4,21,1,4,2025-07-22 22:54:00,2025-07-22 22:54:00,United Kingdom,128,1,11131.09,11131.09,0,0,Recent Moderate Buyers
C10082,3934.63,1967.315,2,5,1,2,2025-07-08 19:35:00,2025-07-08 19:35:00,United Kingdom,142,1,3934.63,3934.63,0,2,Low-Value Customers
C10083,11108.77,2221.754,5,14,2,5,2025-02-14 16:06:00,2025-07-20 22:11:00,India,130,2,11108.77,5554.385,156,0,Recent Moderate Buyers
C10084,11986.84,1997.8066666666666,6,17,3,6,2025-02-12 19:12:00,2025-10-29 09:38:00,Netherlands,30,3,11986.84,3995.6133333333332,258,1,Champions (High-Value Loyal)
C10086,5303.469999999999,1767.823333333333,3,7,2,3,2025-06-03 17:34:00,2025-11-10 20:32:00,United Kingdom,17,2,5303.469999999999,2651.7349999999997,160,0,Recent Moderate Buyers
C10087,10036.68,1672.78,6,12,2,6,2025-01-20 18:41:00,2025-11-20 15:47:00,Singapore,8,2,10036.68,5018.34,303,0,Recent Moderate Buyers
C10088,9070.11,2267.5275,4,56,2,4,2025-03-01 21:46:00,2025-04-29 10:20:00,United Kingdom,213,2,9070.11,4535.055,58,3,At-Risk Big Spenders
C10089,12381.25,1547.65625,8,17,1,8,2025-02-03 12:25:00,2025-02-03 12:25:00,United Kingdom,298,1,12381.25,12381.25,0,3,At-Risk Big Spenders
C10091,43040.799999999996,3310.830769230769,13,73,4,12,2025-02-02 12:14:00,2025-11-03 13:29:00,United Kingdom,25,4,43040.799999999996,10760.199999999999,274,1,Champions (High-Value Loyal)
C10092,2932.17,1466.085,2,4,1,2,2025-10-31 22:18:00,2025-10-31 22:18:00,India,27,1,2932.17,2932.17,0,0,Recent Moderate Buyers
C10093,30079.25,3007.925,10,34,2,10,2025-05-28 10:40:00,2025-07-21 16:29:00,France,130,2,30079.25,15039.625,54,0,Recent Moderate Buyers
C10094,23375.72,2337.572,10,41,2,9,2025-02-23 14:00:00,2025-04-19 18:40:00,United Kingdom,223,2,23375.72,11687.86,55,3,At-Risk Big Spenders
C10095,3142.05,1047.3500000000001,3,5,2,3,2025-07-11 16:03:00,2025-10-21 22:59:00,United Kingdom,37,2,3142.05,1571.025,102,0,Recent Moderate Buyers
C10097,8524.800000000001,4262.400000000001,2,6,1,2,2025-07-04 15:15:00,2025-07-04 15:15:00,Singapore,147,1,8524.800000000001,8524.800000000001,0,3,At-Risk Big Spenders
C10098,1749.6399999999999,583.2133333333333,3,4,2,3,2025-01-09 14:30:00,2025-07-25 14:57:00,United Kingdom,126,2,1749.6399999999999,874.8199999999999,197,2,Low-Value Customers
C10099,2812.42,703.105,4,5,2,4,2025-03-27 19:10:00,2025-06-16 12:45:00,Canada,165,2,2812.42,1406.21,80,2,Low-Value Customers
C10100,30175.15,2321.165384615385,13,39,3,10,2025-01-15 15:27:00,2025-08-16 10:19:00,Netherlands,104,3,30175.15,10058.383333333333,212,1,Champions (High-Value Loyal)
C10101,23502.25,2611.3611111111113,9,31,4,9,2025-07-12 21:21:00,2025-10-28 10:11:00,United Kingdom,31,4,23502.25,5875.5625,107,1,Champions (High-Value Loyal)
C10102,4117.53,4117.53,1,3,1,1,2025-08-16 11:44:00,2025-08-16 11:44:00,Germany,104,1,4117.53,4117.53,0,2,Low-Value Customers
C10103,9298.1,1549.6833333333334,6,18,2,6,2025-09-12 11:38:00,2025-10-31 11:28:00,India,28,2,9298.1,4649.05,48,0,Recent Moderate Buyers
C10104,8238.29,1647.6580000000001,5,16,3,5,2025-02-16 18:25:00,2025-08-03 20:58:00,United Kingdom,116,3,8238.29,2746.096666666667,168,1,Champions (High-Value Loyal)
C10105,10112.64,3370.8799999999997,3,12,1,3,2025-10-25 20:51:00,2025-10-25 20:51:00,United Kingdom,33,1,10112.64,10112.64,0,0,Recent Moderate Buyers
C10106,1815.4,453.85,4,4,2,4,2025-03-15 12:42:00,2025-09-24 20:42:00,India,64,2,1815.4,907.7,193,2,Low-Value Customers
C10107,5160.4,1290.1,4,7,1,4,2025-08-17 13:14:00,2025-08-17 13:14:00,United Kingdom,103,1,5160.4,5160.4,0,0,Recent Moderate Buyers
C10108,2520.6800000000003,840.2266666666668,3,5,1,3,2025-04-09 08:05:00,2025-04-09 08:05:00,United Kingdom,233,1,2520.6800000000003,2520.6800000000003,0,2,Low-Value Customers
C10109,10504.189999999999,2100.8379999999997,5,11,1,5,2025-11-09 17:50:00,2025-11-09 17:50:00,United Kingdom,19,1,10504.189999999999,10504.189999999999,0,0,Recent Moderate Buyers
C10110,17646.0,4411.5,4,22,2,4,2025-09-26 20:04:00,2025-11-15 09:21:00,Australia,13,2,17646.0,8823.0,49,0,Recent Moderate Buyers
C10111,13408.47,1340.847,10,19,4,8,2025-03-14 22:29:00,2025-10-22 21:37:00,Netherlands,36,4,13408.47,3352.1175,221,1,Champions (High-Value Loyal)
C10112,20702.33,1882.0300000000002,11,35,3,9,2025-06-18 17:28:00,2025-07-20 08:59:00,United Kingdom,131,3,20702.33,6900.776666666668,31,1,Champions (High-Value Loyal)
C10113,998.1,998.1,1,2,1,1,2025-01-06 20:33:00,2025-01-06 20:33:00,United Kingdom,325,1,998.1,998.1,0,2,Low-Value Customers
C10114,9292.01,2323.0025,4,9,1,4,2025-10-20 12:11:00,2025-10-20 12:11:00,United Kingdom,39,1,9292.01,9292.01,0,0,Recent Moderate Buyers
C10115,2370.12,2370.12,1,4,1,1,2025-08-01 09:27:00,2025-08-01 09:27:00,Spain,119,1,2370.12,2370.12,0,2,Low-Value Customers
C10116,31381.94,2413.9953846153844,13,42,6,10,2025-04-04 17:22:00,2025-11-27 18:35:00,Netherlands,1,6,31381.94,5230.323333333333,237,1,Champions (High-Value Loyal)
C10117,10224.93,5112.465,2,5,2,1,2025-01-09 20:18:00,2025-03-17 22:28:00,United Kingdom,255,2,10224.93,5112.465,67,3,At-Risk Big Spenders
C10118,10000.71,5000.355,2,6,1,2,2025-06-20 15:28:00,2025-06-20 15:28:00,India,161,1,10000.71,10000.71,0,3,At-Risk Big Spenders
C10119,4477.6,895.5200000000001,5,5,2,5,2025-05-07 13:42:00,2025-06-03 16:35:00,India,178,2,4477.6,2238.8,27,3,At-Risk Big Spenders
C10120,19286.25,2142.9166666666665,9,24,4,7,2025-02-15 14:25:00,2025-10-05 09:22:00,United Kingdom,54,4,19286.25,4821.5625,231,1,Champions (High-Value Loyal)
C10121,17973.41,1497.7841666666666,12,39,3,12,2025-01-28 13:43:00,2025-08-23 20:26:00,Germany,96,3,17973.41,5991.136666666666,207,1,Champions (High-Value Loyal)
C10122,12865.42,1837.9171428571428,7,16,3,7,2025-06-28 12:56:00,2025-11-05 21:26:00,United Kingdom,22,3,12865.42,4288.473333333333,130,1,Champions (High-Value Loyal)
C10123,3227.35,1075.7833333333333,3,11,1,3,2025-05-22 15:04:00,2025-05-22 15:04:00,France,190,1,3227.35,3227.35,0,2,Low-Value Customers
C10124,5132.26,2566.13,2,6,1,2,2025-08-03 12:48:00,2025-08-03 12:48:00,United Kingdom,117,1,5132.26,5132.26,0,0,Recent Moderate Buyers
C10125,3249.64,1624.82,2,5,2,2,2025-01-29 19:08:00,2025-05-07 12:33:00,United Kingdom,205,2,3249.64,1624.82,97,3,At-Risk Big Spenders
C10126,32899.86,2193.324,15,43,4,11,2025-01-09 13:00:00,2025-09-29 12:44:00,United Kingdom,60,4,32899.86,8224.965,262,1,Champions (High-Value Loyal)
C10127,15971.04,3992.76,4,12,2,4,2025-03-11 22:34:00,2025-08-05 15:10:00,United Kingdom,115,2,15971.04,7985.52,146,0,Recent Moderate Buyers
C10129,12169.75,2028.2916666666667,6,16,1,6,2025-09-29 16:51:00,2025-09-29 16:51:00,Netherlands,60,1,12169.75,12169.75,0,0,Recent Moderate Buyers
C10131,1281.88,1281.88,1,2,1,1,2025-09-06 19:29:00,2025-09-06 19:29:00,United Kingdom,82,1,1281.88,1281.88,0,2,Low-Value Customers
C10132,16386.59,2340.941428571429,7,31,2,7,2025-03-05 20:55:00,2025-06-06 19:00:00,United Kingdom,175,2,16386.59,8193.295,92,3,At-Risk Big Spenders
C10133,11096.04,2219.208,5,25,2,5,2025-03-28 14:08:00,2025-11-22 18:28:00,Netherlands,6,2,11096.04,5548.02,239,0,Recent Moderate Buyers
C10134,14197.31,2028.1871428571428,7,23,3,7,2025-06-19 13:47:00,2025-08-22 19:13:00,Portugal,98,3,14197.31,4732.4366666666665,64,1,Champions (High-Value Loyal)
C10135,33505.61,3350.561,10,37,3,9,2025-01-04 20:59:00,2025-11-01 12:17:00,United Kingdom,27,3,33505.61,11168.536666666667,300,1,Champions (High-Value Loyal)
C10137,4436.31,1478.7700000000002,3,6,1,3,2025-03-30 13:23:00,2025-03-30 13:23:00,United Kingdom,243,1,4436.31,4436.31,0,3,At-Risk Big Spenders
C10138,13301.57,3325.3925,4,17,2,3,2025-01-05 13:54:00,2025-02-17 12:28:00,Germany,284,2,13301.57,6650.785,42,3,At-Risk Big Spenders
C10140,3616.59,904.1475,4,9,2,4,2025-09-13 19:25:00,2025-11-11 22:33:00,United Kingdom,16,2,3616.59,1808.295,59,0,Recent Moderate Buyers
C10141,11011.18,2202.236,5,20,1,5,2025-11-25 20:26:00,2025-11-25 20:26:00,United Kingdom,2,1,11011.18,11011.18,0,0,Recent Moderate Buyers
C10142,15645.970000000001,2607.661666666667,6,23,1,6,2025-03-19 08:52:00,2025-03-19 08:52:00,United Kingdom,254,1,15645.970000000001,15645.970000000001,0,3,At-Risk Big Spenders
C10143,14609.48,3652.37,4,16,3,4,2025-05-18 12:17:00,2025-10-28 17:05:00,United Kingdom,31,3,14609.48,4869.826666666667,163,1,Champions (High-Value Loyal)
C10144,19516.52,3252.7533333333336,6,23,2,6,2025-06-25 16:46:00,2025-07-03 11:40:00,Netherlands,148,2,19516.52,9758.26,7,0,Recent Moderate Buyers
C10145,7233.36,7233.36,1,8,1,1,2025-04-15 10:05:00,2025-04-15 10:05:00,United Kingdom,227,1,7233.36,7233.36,0,3,At-Risk Big Spenders
C10146,36333.51,2595.2507142857144,14,38,3,13,2025-02-18 15:57:00,2025-11-21 08:05:00,United Kingdom,7,3,36333.51,12111.17,275,1,Champions (High-Value Loyal)
C10147,55598.45,3474.903125,16,43,5,14,2025-06-09 21:31:00,2025-11-13 14:27:00,United Kingdom,15,5,55598.45,11119.689999999999,156,1,Champions (High-Value Loyal)
C10148,15625.84,3906.46,4,13,2,4,2025-08-13 19:06:00,2025-10-28 21:07:00,Germany,30,2,15625.84,7812.92,76,0,Recent Moderate Buyers
C10149,18511.309999999998,3085.218333333333,6,15,2,6,2025-03-23 20:16:00,2025-11-01 09:42:00,United Kingdom,27,2,18511.309999999998,9255.654999999999,222,0,Recent Moderate Buyers
C10150,4422.950000000001,1474.3166666666668,3,8,1,3,2025-01-16 08:41:00,2025-01-16 08:41:00,United Kingdom,316,1,4422.950000000001,4422.950000000001,0,3,At-Risk Big Spenders
C10151,75552.3,4722.01875,16,64,4,14,2025-02-27 09:28:00,2025-10-17 19:58:00,Singapore,41,4,75552.3,18888.075,232,1,Champions (High-Value Loyal)
C10152,13029.59,6514.795,2,9,1,2,2025-04-02 13:55:00,2025-04-02 13:55:00,India,240,1,13029.59,13029.59,0,3,At-Risk Big Spenders
C10153,8418.74,2104.685,4,16,1,4,2025-06-11 12:18:00,2025-06-11 12:18:00,United Kingdom,170,1,8418.74,8418.74,0,3,At-Risk Big Spenders
C10154,3245.17,811.2925,4,10,2,4,2025-04-23 20:14:00,2025-06-20 09:37:00,United Kingdom,161,2,3245.17,1622.585,57,2,Low-Value Customers
C10155,376.79,376.79,1,1,1,1,2025-03-31 21:48:00,2025-03-31 21:48:00,United Kingdom,241,1,376.79,376.79,0,2,Low-Value Customers
C10157,19045.78,3174.2966666666666,6,26,2,6,2025-05-24 13:54:00,2025-11-17 14:50:00,United Kingdom,11,2,19045.78,9522.89,177,0,Recent Moderate Buyers
C10159,23943.16,4788.632,5,20,2,5,2025-01-19 09:03:00,2025-02-03 10:44:00,United Kingdom,298,2,23943.16,11971.58,15,3,At-Risk Big Spenders
C10163,10716.94,1786.1566666666668,6,13,2,6,2025-04-14 08:32:00,2025-09-27 22:10:00,United Kingdom,61,2,10716.94,5358.47,166,0,Recent Moderate Buyers
C10167,3081.57,3081.57,1,3,1,1,2025-11-13 16:38:00,2025-11-13 16:38:00,United Kingdom,15,1,3081.57,3081.57,0,0,Recent Moderate Buyers
C10168,19389.51,2423.68875,8,21,2,8,2025-02-08 14:41:00,2025-08-13 19:59:00,India,106,2,19389.51,9694.755,186,0,Recent Moderate Buyers
C10169,8071.469999999999,4035.7349999999997,2,6,1,2,2025-09-04 16:50:00,2025-09-04 16:50:00,United Kingdom,85,1,8071.469999999999,8071.469999999999,0,0,Recent Moderate Buyers
C10170,6307.09,1576.7725,4,8,2,4,2025-01-29 12:05:00,2025-02-08 20:31:00,United Kingdom,292,2,6307.09,3153.545,10,3,At-Risk Big Spenders
C10171,7636.52,1909.13,4,9,2,4,2025-03-20 19:44:00,2025-07-31 15:56:00,Portugal,120,2,7636.52,3818.26,132,0,Recent Moderate Buyers
C10173,12493.37,1561.67125,8,20,4,8,2025-04-05 18:58:00,2025-10-31 11:25:00,United Kingdom,28,4,12493.37,3123.3425,208,1,Champions (High-Value Loyal)
C10174,10110.71,1444.3871428571426,7,14,1,7,2025-10-21 08:42:00,2025-10-21 08:42:00,France,38,1,10110.71,10110.71,0,0,Recent Moderate Buyers
C10175,8823.42,2205.855,4,8,1,4,2025-01-27 11:55:00,2025-01-27 11:55:00,France,305,1,8823.42,8823.42,0,3,At-Risk Big Spenders
C10176,12657.79,1808.2557142857145,7,16,2,7,2025-01-28 10:38:00,2025-02-21 19:27:00,United Kingdom,280,2,12657.79,6328.895,24,3,At-Risk Big Spenders
C10177,12046.929999999998,1505.8662499999998,8,14,4,8,2025-04-04 21:22:00,2025-11-17 18:23:00,United Kingdom,11,4,12046.929999999998,3011.7324999999996,226,1,Champions (High-Value Loyal)
C10178,443.0,443.0,1,1,1,1,2025-11-25 13:47:00,2025-11-25 13:47:00,United Kingdom,3,1,443.0,443.0,0,2,Low-Value Customers
C10179,3938.58,1312.86,3,6,1,3,2025-02-27 14:36:00,2025-02-27 14:36:00,United Kingdom,274,1,3938.58,3938.58,0,3,At-Risk Big Spenders
C10180,31548.2,2868.018181818182,11,78,5,11,2025-02-13 16:06:00,2025-09-17 22:37:00,United Kingdom,71,5,31548.2,6309.64,216,1,Champions (High-Value Loyal)
C10181,5244.82,1311.205,4,13,3,4,2025-08-23 14:23:00,2025-11-12 14:22:00,Germany,16,3,5244.82,1748.2733333333333,80,0,Recent Moderate Buyers
C10182,9261.04,1323.0057142857145,7,19,3,7,2025-06-12 20:14:00,2025-10-24 10:46:00,India,35,3,9261.04,3087.013333333334,133,1,Champions (High-Value Loyal)
C10184,1387.52,462.50666666666666,3,5,2,3,2025-01-24 10:44:00,2025-09-07 19:25:00,United Kingdom,82,2,1387.52,693.76,226,2,Low-Value Customers
C10185,22008.440000000002,2000.767272727273,11,23,2,9,2025-03-11 20:41:00,2025-08-17 17:52:00,United Kingdom,103,2,22008.440000000002,11004.220000000001,158,0,Recent Moderate Buyers
C10186,6687.05,2229.016666666667,3,7,1,3,2025-08-26 15:45:00,2025-08-26 15:45:00,United Kingdom,94,1,6687.05,6687.05,0,0,Recent Moderate Buyers
C10187,19584.760000000002,3916.952,5,16,1,5,2025-04-21 12:13:00,2025-04-21 12:13:00,Netherlands,221,1,19584.760000000002,19584.760000000002,0,3,At-Risk Big Spenders
C10189,5657.96,942.9933333333333,6,16,2,5,2025-05-01 21:54:00,2025-05-14 12:41:00,United Kingdom,198,2,5657.96,2828.98,12,3,At-Risk Big Spenders
C10190,1535.6,1535.6,1,5,1,1,2025-09-17 08:05:00,2025-09-17 08:05:00,United Kingdom,72,1,1535.6,1535.6,0,2,Low-Value Customers
C10191,2783.79,1391.895,2,3,2,2,2025-04-28 14:19:00,2025-08-15 12:52:00,United Kingdom,105,2,2783.79,1391.895,108,2,Low-Value Customers
